Name,Age,Gender,Platform,User_experience,Color Scheme,Visual Hierarchy,Typography,Images and Multimedia,Layout,Mobile Responsiveness,CTA (Call to Action) Buttons,Forms and Input Fields,Feedback and Error Messages,Loading Speed,Personalization,Accessibility,Animation and Transitions,Scrolling_Behavior,Gestures and Touch Controls,Search Functionality,Social_Media_Integration
Nurun Nahar,58,female,Facebook,Engaging,3,4,4,5,4,4,5,5,4,4,4,4,5,3,3,3,4
Mozammel Mia,45,male,Twitter,Inconsistent Navigation,3,4,4,4,4,4,4,4,5,5,3,5,5,5,4,4,5
Halima Begum,30,female,Twitter,Inconsistent Navigation,4,5,4,4,4,4,4,5,4,4,5,4,5,3,4,5,4
Abdul Wahab,45,male,Instagram,Engaging,3,5,3,5,5,4,5,4,3,4,4,3,5,3,5,3,3
Shama Akhtar,33,female,Facebook,Confusing,4,5,4,4,4,4,5,5,4,4,3,4,5,4,4,3,5
Badal Mia,21,male,Youtube,User-Friendly,3,5,3,4,5,5,4,5,4,4,4,5,4,3,5,4,3
Rehana Khanam,59,female,Youtube,Engaging,3,3,4,3,4,4,3,4,5,4,4,5,4,4,5,5,4
Shaheda Sultana,30,male,Facebook,Engaging,4,4,4,5,4,5,4,3,3,5,5,4,3,4,3,4,3
Mojibur Rahman,31,female,Twitter,Engaging,4,4,4,4,4,4,5,4,3,5,5,4,5,3,4,3,4
Nasima Akhter,29,male,Twitter,Confusing,4,3,5,4,3,5,4,4,4,3,5,5,3,4,4,4,3
Nizam Uddin,70,female,Youtube,Engaging,5,5,3,3,4,4,4,4,5,5,4,4,5,4,4,4,4
Khadija Khanam,27,male,Instagram,Confusing,4,3,4,4,5,5,5,3,4,4,4,3,4,4,4,5,4
Asadur Rahman,34,female,Youtube,Limited Menu Options,5,4,5,5,4,5,4,5,4,5,5,4,4,3,4,4,4
Rizia Begum,39,male,Youtube,Efficient,4,4,3,4,5,5,5,5,4,4,5,4,5,5,4,4,3
Shammi Akhtar,74,female,Instagram,Limited Menu Options,4,4,4,5,4,4,4,3,4,5,4,5,5,5,3,3,3
Jasim Uddin,57,male,Facebook,Clear and concise,4,5,3,3,4,4,3,5,4,4,3,4,5,3,4,3,5
Shahnaj Sultana,52,female,Youtube,Intuitive,4,5,4,5,4,4,4,4,4,5,5,5,4,5,5,4,5
Abdul Majeed,73,male,Instagram,Clear and concise,3,5,5,4,5,4,4,3,4,3,4,4,3,5,4,4,4
Kaniz Akhtar,67,female,Youtube,User-Friendly,4,4,4,4,4,4,4,4,3,3,5,3,3,5,5,4,5
Zahurul Islam,65,male,Youtube,Adequate,5,4,3,3,4,3,4,5,3,4,4,4,5,4,4,4,3
Sufiya Begum,74,female,Youtube,Engaging,3,4,4,4,5,4,5,4,5,5,5,4,4,4,4,4,3
Khairul Mia,26,male,Website,Engaging,5,5,4,4,5,4,5,3,3,3,4,3,3,4,4,5,5
Rashida Akhter,46,female,Youtube,Limited Menu Options,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,5,3
Abul Bashar,25,male,Youtube,Limited Menu Options,4,4,4,5,4,4,4,4,3,3,5,4,4,5,4,3,4
Nishat Khanam,48,female,Youtube,Engaging,4,3,4,5,5,5,4,4,4,4,5,4,4,5,4,5,3
Salam Mia,73,male,Website,Inconsistent Navigation,4,3,4,3,5,4,4,4,4,4,3,4,4,4,4,4,4
Samina Sultana,63,female,Twitter,Efficient,5,3,5,4,5,3,5,4,4,3,4,4,4,4,5,4,4
Sabur Ali,71,male,Twitter,User-Friendly,5,4,4,5,4,5,4,5,3,3,5,3,4,4,5,5,4
Afroza Akhtar,51,female,Facebook,Well-structured,4,4,4,3,4,5,4,5,4,3,5,5,4,4,4,4,5
Abdur Rouf,75,male,Website,Intuitive,4,5,4,4,4,4,4,4,5,4,5,3,5,5,4,5,5
Yasmin Sultana,57,female,Instagram,Intuitive,4,5,4,5,5,4,4,5,3,3,4,5,5,5,4,4,4
Mokhlesur Rahman,74,male,Facebook,Confusing,4,3,4,5,4,5,4,4,5,3,3,5,4,4,4,4,5
Razia Akhtar,26,female,Twitter,Clear and concise,4,4,5,4,3,4,3,4,3,3,5,5,5,3,5,3,5
Badiuzzaman,71,male,Youtube,Efficient,3,5,4,5,5,4,4,5,4,4,4,4,4,4,4,5,4
Sahina Khanam,44,female,Instagram,Intuitive,5,4,4,3,4,4,3,3,3,4,4,4,3,4,5,5,5
Nurul Amin,36,male,Twitter,Engaging,4,4,4,4,3,4,4,4,5,4,5,3,3,4,3,5,5
Mina Akhtar,56,female,Website,Adequate,4,4,4,3,4,5,4,3,5,4,4,5,4,4,4,3,4
Shahed Mia,26,male,Instagram,Efficient,3,4,4,3,4,5,4,5,5,4,4,4,3,5,3,3,5
Jesmin Sultana,48,female,Instagram,Intuitive,5,5,3,4,3,4,4,4,4,3,4,4,4,3,3,3,3
Shafiqur Rahman,42,male,Website,Intuitive,5,5,3,4,4,5,4,5,4,3,5,3,5,3,4,5,4
Sultana Akhter,65,female,Twitter,Well-structured,5,4,4,4,4,5,4,3,5,4,5,4,3,3,4,3,4
Khairul Islam,45,male,Youtube,Clear and concise,3,4,4,5,4,4,5,4,3,4,4,3,5,4,3,4,4
Rozina Sultana,69,female,Facebook,Clear and concise,4,5,4,5,4,4,4,5,4,5,4,5,3,4,5,3,5
Jahangir Mia,67,male,Youtube,Engaging,5,4,4,3,4,4,4,3,4,4,4,4,4,4,5,3,4
Shahana Sultana,70,female,Website,Efficient,4,4,4,5,5,4,4,3,3,4,3,4,4,4,3,4,5
Shafiq Mia,43,male,Youtube,Intuitive,4,4,3,4,5,5,5,5,4,5,4,4,3,5,5,5,4
Shathi Akhtar,68,female,Twitter,Confusing,3,5,4,4,3,4,5,3,3,5,5,5,4,3,4,5,3
Mahmudul Haque,24,male,Twitter,User-Friendly,5,3,3,3,3,4,5,3,4,4,5,4,4,5,4,4,3
Saira Sultana,62,female,Website,Inconsistent Navigation,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4
Shafi Mia,35,male,Youtube,Engaging,5,5,4,4,4,4,4,5,3,5,4,3,3,5,4,3,5
Rahima Sultana,20,female,Website,Well-structured,5,4,4,3,3,5,4,4,4,5,5,4,4,4,4,4,4
Abdul Majid,25,male,Facebook,Clear and concise,4,5,4,4,4,4,5,3,4,5,4,3,4,4,5,5,4
Nasrin Sultana,48,female,Website,Intuitive,4,5,4,5,4,5,5,4,4,3,5,3,3,4,4,4,4
Kazi Akhtar,69,male,Twitter,Adequate,4,4,4,5,4,4,4,4,4,4,4,5,3,5,4,4,3
Shila Sultana,30,female,Website,Intuitive,4,4,4,3,5,3,4,3,4,5,5,3,4,3,5,4,3
Sharif Mia,56,male,Instagram,Engaging,5,4,4,4,3,5,4,4,3,4,4,4,4,3,3,3,4
Tania Akhtar,62,female,Facebook,Confusing,3,4,4,4,4,5,4,5,4,4,5,5,4,4,4,4,3
Samsul Haque,45,male,Website,Adequate,5,4,4,4,4,5,4,5,5,4,5,4,5,5,4,4,4
Salma Sultana,68,female,Twitter,Well-structured,4,3,3,4,4,4,4,4,4,4,4,4,4,5,4,4,5
Ismail Uddin,51,male,Youtube,Inconsistent Navigation,4,4,3,4,4,4,3,3,4,4,5,5,4,3,4,4,4
Rima Khanam,75,female,Twitter,Clear and concise,4,4,4,4,3,5,5,5,5,3,5,5,3,5,4,5,3
Mohiuddin,25,male,Instagram,Clear and concise,4,4,4,4,4,4,4,5,3,3,4,4,4,5,3,5,5
Shahina Akhter,26,female,Youtube,Adequate,3,5,4,5,4,5,5,4,4,5,4,4,5,3,3,3,4
Mozammel Haque,35,male,Youtube,User-Friendly,3,4,5,3,3,5,4,5,5,5,5,4,4,4,3,3,5
Sheuli Sultana,76,female,Youtube,Inconsistent Navigation,5,4,5,4,4,4,5,5,5,4,4,4,5,3,5,4,5
Abul Kashem,44,male,Twitter,User-Friendly,3,5,4,4,4,4,5,3,4,3,5,4,5,5,4,4,3
Rubina Sultana,29,female,Instagram,Confusing,4,4,4,3,3,5,4,4,3,4,5,5,4,5,5,4,3
Aarav Sharma,22,male,Instagram,User-Friendly,4,5,4,4,5,5,4,5,3,5,4,4,5,4,4,4,4
Aarti Patel,30,female,Website,Confusing,4,5,4,3,4,4,4,3,5,5,4,4,4,5,4,4,3
Abhishek Singh,22,male,Instagram,Adequate,4,4,3,4,4,5,4,4,4,3,3,5,4,4,5,5,4
Aditi Gupta,49,female,Twitter,Confusing,5,3,4,4,4,5,4,4,3,3,3,4,4,5,4,3,5
Aishwarya Verma,47,female,Website,Efficient,5,4,4,4,4,4,4,4,4,5,4,3,5,4,4,5,5
Akshay Reddy,62,male,Instagram,Clear and concise,4,4,4,5,5,4,5,3,4,5,4,5,3,5,4,4,5
Alka Mehta,24,female,Instagram,Inconsistent Navigation,4,4,4,4,3,5,5,5,3,4,4,3,4,4,4,5,5
Amar Joshi,53,male,Instagram,Limited Menu Options,5,4,3,4,5,4,4,4,4,3,5,5,4,4,5,4,4
Amrita Desai,73,female,Twitter,Engaging,4,5,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5
Anand Choudhury,52,male,Twitter,Clear and concise,4,4,4,5,4,4,4,5,5,4,5,4,4,4,4,4,3
Ananya Iyer,65,female,Website,Well-structured,5,3,3,5,5,4,5,4,4,4,5,4,4,5,3,5,5
Ankita Kapoor,74,female,Youtube,User-Friendly,4,4,5,3,5,3,4,4,3,3,4,5,3,3,5,5,4
Anil Mishra,31,male,Facebook,Clear and concise,4,5,4,5,5,5,4,4,4,4,3,5,4,4,5,4,3
Anjali Pandey,32,female,Website,Confusing,4,5,4,3,5,4,4,3,4,3,5,5,4,5,4,4,4
Anshul Rana,58,male,Instagram,Adequate,5,4,4,5,4,4,4,4,4,4,5,4,5,3,4,3,5
Anuradha Nair,21,female,Twitter,Confusing,3,4,4,4,4,4,4,5,5,4,3,4,3,4,4,4,5
Arjun Kumar,43,male,Twitter,Clear and concise,4,4,3,3,5,4,4,4,4,4,4,5,3,4,3,4,4
Ayesha Das,29,female,Facebook,Engaging,3,4,4,5,5,4,4,4,4,4,4,4,5,5,4,4,4
Bhavna Rajput,24,male,Facebook,Engaging,4,3,5,3,4,5,4,5,3,4,3,4,3,3,5,4,5
Bhuvan Agarwal,73,male,Instagram,User-Friendly,4,4,4,5,3,4,5,5,4,3,4,3,5,4,4,3,5
Charulata,41,female,Facebook,Well-structured,3,5,5,3,4,4,4,5,5,5,4,5,4,4,3,3,5
Chetan,63,male,Youtube,Limited Menu Options,4,5,4,4,4,4,4,4,5,5,5,4,3,4,3,3,5
Damini,22,female,Instagram,Engaging,3,5,4,4,4,5,5,3,4,4,4,5,4,4,5,3,4
Darshan,69,male,Twitter,Confusing,5,4,4,5,5,5,5,4,3,5,3,4,4,3,4,4,4
Deepti,76,female,Twitter,Adequate,3,3,4,4,4,4,4,5,4,5,4,3,4,4,3,4,3
Devendra,40,male,Youtube,Inconsistent Navigation,4,5,3,4,4,4,4,4,3,4,5,5,5,4,4,5,4
Devika,27,female,Youtube,Adequate,5,3,3,5,4,5,3,4,5,3,5,4,4,4,5,4,4
Dinesh,37,male,Instagram,Well-structured,3,4,4,4,4,4,4,3,5,5,3,4,3,4,4,5,5
Divya,47,female,Facebook,Confusing,3,5,4,4,4,5,4,4,5,5,5,5,3,4,4,4,5
Ekta,65,female,Youtube,Inconsistent Navigation,4,5,4,3,4,3,5,4,4,4,5,4,4,4,4,4,4
Gaurav,26,male,Website,Well-structured,5,4,4,5,3,4,4,5,4,5,4,4,3,4,4,5,5
Gayatri,52,female,Website,Limited Menu Options,4,5,4,4,5,5,4,3,4,5,5,4,3,3,4,3,4
Girish,32,male,Facebook,Limited Menu Options,4,4,5,5,4,5,4,4,3,3,3,3,5,5,4,4,3
Hansa,68,female,Youtube,Adequate,4,4,3,4,4,5,5,4,3,4,5,5,3,5,5,3,4
Harish,71,male,Website,Limited Menu Options,5,3,4,4,4,4,4,5,5,4,5,5,4,5,3,4,4
Hema,56,female,Instagram,Well-structured,4,4,4,5,4,4,4,4,4,5,4,5,3,4,4,5,4
Isha,30,female,Website,Confusing,5,4,3,4,5,5,4,4,4,5,4,4,4,5,3,5,3
Jagdish,75,male,Website,Intuitive,4,3,4,4,4,4,4,5,5,4,3,4,4,5,4,4,5
Jaya,45,female,Website,Well-structured,4,4,3,5,4,4,4,4,4,3,4,5,5,5,5,3,3
Jayant,52,male,Twitter,Confusing,4,5,4,5,5,4,4,3,5,4,3,5,3,4,3,5,3
Jyoti,27,female,Youtube,Confusing,4,5,4,5,4,5,4,4,4,5,4,5,3,4,4,4,4
Kajal,48,female,Website,Confusing,3,4,3,5,4,4,5,4,5,5,4,5,4,4,4,4,4
Kalyani,36,female,Instagram,User-Friendly,4,5,3,4,4,4,4,4,4,5,5,3,4,4,4,5,5
Kamal,25,male,Youtube,Adequate,5,3,4,4,4,4,4,3,5,5,5,3,5,4,4,3,5
Kavita,21,female,Instagram,Well-structured,4,3,5,4,5,4,5,5,4,5,4,5,4,4,4,5,4
Kiran,68,male,Youtube,User-Friendly,4,4,4,3,5,5,5,4,4,3,4,3,5,4,5,4,5
Kirti,33,female,Instagram,Limited Menu Options,5,4,4,3,4,4,4,5,4,4,5,4,4,5,5,4,5
Krishna,60,male,Instagram,Well-structured,4,4,4,5,3,4,5,3,4,3,4,3,5,4,4,3,3
Kumari,44,female,Youtube,Inconsistent Navigation,4,4,4,4,4,4,4,3,4,3,5,5,4,5,4,5,3
Lakshmi,20,female,Youtube,Intuitive,3,4,3,4,5,5,5,4,4,4,5,5,5,4,4,4,4
Mahesh,62,male,Youtube,Efficient,4,4,4,3,4,4,4,4,4,5,4,4,5,4,3,4,3
Manju,46,female,Instagram,Inconsistent Navigation,4,4,4,4,5,5,5,5,4,4,3,5,4,4,3,4,5
Manoj,68,male,Facebook,Clear and concise,3,5,4,4,3,4,4,4,5,5,5,4,5,4,5,5,4
Meena,71,female,Twitter,Inconsistent Navigation,4,5,4,5,4,4,5,4,4,5,5,4,5,4,4,4,4
Mohan,47,male,Website,Intuitive,5,4,4,4,4,5,4,3,3,5,5,3,3,4,5,4,5
Monica,20,female,Youtube,Adequate,5,4,4,5,5,4,4,3,3,3,3,4,4,4,4,4,3
Mukesh,52,male,Youtube,Adequate,4,4,4,4,4,5,4,4,3,5,4,4,3,4,4,4,3
Nandini,71,female,Instagram,Clear and concise,4,4,4,4,5,4,5,3,5,5,4,4,4,5,3,4,5
Neha,52,female,Youtube,Clear and concise,5,4,4,4,4,4,4,4,3,5,4,4,3,4,3,4,5
Neelam,72,female,Youtube,Limited Menu Options,4,4,4,4,4,5,5,4,3,4,5,5,3,4,5,4,4
Nikhil,26,male,Website,Confusing,5,3,4,5,4,4,5,5,4,5,5,4,4,4,5,5,4
Nisha,76,female,Website,Well-structured,4,3,4,3,3,4,4,4,5,3,4,4,4,5,5,3,4
Nitin,76,male,Youtube,Inconsistent Navigation,5,4,4,4,5,4,4,4,4,5,3,5,4,5,3,4,4
Padmini,31,female,Facebook,Limited Menu Options,4,4,4,5,5,4,3,4,4,5,3,5,3,3,5,4,4
Pankaj,45,male,Youtube,Clear and concise,5,4,4,4,5,5,4,5,5,4,3,5,4,5,5,5,4
Parvati,49,female,Website,User-Friendly,4,3,4,3,5,4,4,5,4,5,4,4,4,4,4,5,3
Pooja,67,female,Youtube,Efficient,5,5,5,5,5,4,4,3,5,3,4,5,5,4,5,4,5
Pradeep,56,male,Instagram,Clear and concise,4,4,4,5,5,4,3,5,3,4,4,4,4,4,4,4,4
Pratik,48,male,Youtube,Adequate,4,5,4,5,3,4,5,3,5,3,5,5,5,3,5,4,4
Priya,41,female,Website,Engaging,4,4,4,4,3,4,3,5,4,4,4,4,3,4,4,4,4
Rajan,59,male,Twitter,Clear and concise,4,5,4,3,4,5,4,4,5,4,4,5,5,4,3,4,3
Rajesh,39,male,Instagram,Adequate,3,3,4,5,3,5,4,5,4,3,3,4,3,4,4,4,3
Rakesh,53,male,Facebook,Engaging,5,4,4,4,4,4,3,4,4,5,4,3,4,5,4,4,4
Rama,39,male,Youtube,Engaging,5,4,3,4,4,3,4,5,5,4,4,5,3,4,3,5,4
Ramesh,51,male,Twitter,Engaging,5,5,3,5,4,5,4,4,4,4,4,3,5,3,4,5,3
Rekha,22,female,Twitter,Confusing,5,4,4,5,5,4,4,5,4,5,3,4,3,4,4,5,5
Rishi,65,male,Instagram,Confusing,3,3,4,3,4,4,4,4,5,4,3,5,5,5,3,3,4
Rohit,74,male,Website,User-Friendly,5,5,3,4,3,4,4,5,4,4,4,5,5,5,5,4,5
Rupal,58,male,Website,Intuitive,5,5,4,5,4,3,4,4,4,5,5,3,5,4,4,4,4
Sachin,63,male,Instagram,Adequate,4,3,4,4,5,5,4,4,4,5,5,3,3,4,5,4,3
Sangeeta,50,female,Website,Well-structured,3,5,4,4,4,4,4,5,4,4,3,5,5,5,5,4,5
Sanjay,49,male,Instagram,Clear and concise,5,4,4,4,5,4,5,5,5,4,5,5,3,5,4,5,3
Sapna,56,female,Instagram,User-Friendly,5,4,4,4,5,4,3,4,5,4,5,4,4,4,5,4,5
Sahin,48,male,Website,Adequate,4,3,3,3,4,3,4,5,5,4,4,4,3,4,5,4,3
Saurabh,24,female,Youtube,Intuitive,4,3,4,3,5,4,4,5,4,4,4,3,3,4,4,5,5
Sohel,41,male,Twitter,Limited Menu Options,4,3,3,5,5,3,4,4,3,5,3,3,5,5,4,5,4
Shailendra,22,female,Twitter,Efficient,3,5,4,4,5,4,4,3,5,4,3,4,5,4,3,3,3
shohan,27,male,Facebook,Confusing,5,3,4,4,5,4,4,4,3,5,5,4,3,4,5,5,4
Shashi,76,female,Instagram,Confusing,4,5,4,5,5,4,5,4,3,4,4,3,4,5,5,4,4
Shikha,53,female,Website,Inconsistent Navigation,3,4,4,5,3,3,4,4,5,3,5,4,5,5,3,5,4
Shilpa,37,female,Website,Clear and concise,5,4,3,5,5,5,3,4,3,3,4,4,5,4,5,5,3
Shivani,63,female,Youtube,Adequate,4,4,4,4,4,5,5,5,3,3,5,5,4,4,4,4,4
Shruti,39,female,Website,Efficient,3,4,3,4,3,4,4,4,4,4,4,4,5,4,5,3,5
Siddharth,40,male,Facebook,Intuitive,3,3,4,4,4,4,4,4,4,3,5,4,4,4,4,5,5
Simran,22,female,Website,User-Friendly,4,5,4,3,4,4,4,4,3,4,3,5,5,5,5,4,5
Sonal,43,female,Youtube,Engaging,4,5,4,4,5,3,4,3,4,4,4,4,3,4,4,4,4
Srinivas,44,female,Facebook,Well-structured,3,4,4,4,4,4,5,4,4,5,3,4,5,4,4,4,3
Suman,30,male,Website,Clear and concise,4,5,5,4,4,4,3,5,5,4,4,4,3,5,4,4,3
Sunil,64,male,Website,Clear and concise,4,4,3,4,5,4,4,3,4,4,4,3,5,3,4,4,3
Suresh,48,male,Twitter,Confusing,3,3,4,4,3,5,4,4,5,5,5,5,3,4,4,4,5
Swati,39,female,Instagram,Intuitive,5,5,3,4,4,5,4,4,4,4,5,5,3,4,4,5,3
Tina,35,female,Twitter,Intuitive,4,4,4,4,4,4,4,5,5,3,4,4,3,4,3,4,5
Uday,38,male,Youtube,Adequate,4,4,4,3,5,3,4,4,5,4,4,4,4,4,5,4,4
Uma,46,female,Website,Clear and concise,4,3,4,4,5,4,5,5,5,5,4,5,4,4,4,4,4
Utkarsh,26,female,Youtube,Inconsistent Navigation,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,5
Vandana,20,male,Website,Confusing,4,3,4,3,4,4,4,4,5,4,4,5,4,4,3,4,4
Varun,41,male,Youtube,Engaging,4,4,4,5,4,5,5,4,3,5,4,4,4,4,3,3,3
Veena,69,male,Facebook,Clear and concise,4,4,4,4,4,4,4,5,5,4,5,5,5,4,3,4,4
Vimal,58,male,Facebook,Well-structured,4,4,4,4,5,4,4,4,4,4,4,3,4,3,3,5,3
Vishal,55,male,Website,Well-structured,4,4,3,5,5,4,4,3,5,5,3,4,3,4,3,4,4
Yamini,19,female,Website,Inconsistent Navigation,3,3,4,3,4,5,3,3,4,4,5,3,3,5,4,3,5
Yash,71,male,Twitter,Engaging,4,5,4,4,4,4,5,3,5,3,4,5,4,4,5,3,4
Aditya,55,male,Twitter,Adequate,5,3,4,5,5,5,4,5,4,4,4,5,4,4,4,5,4
Alok,70,male,Instagram,Efficient,4,5,4,5,5,4,4,4,4,5,4,4,4,5,5,3,5
Anshuman,63,male,Facebook,Well-structured,4,3,3,3,4,4,4,3,5,4,5,4,5,5,4,3,3
Arti,34,female,Twitter,Inconsistent Navigation,5,4,4,4,4,5,4,5,5,4,5,4,4,5,4,5,4
Bhaskar,72,male,Twitter,Limited Menu Options,3,4,4,3,5,5,4,4,4,4,3,5,4,3,3,3,5
Chandra,43,male,Instagram,Efficient,3,4,4,5,4,5,4,4,3,3,5,4,4,5,3,3,4
Deepak,67,female,Facebook,Confusing,3,5,4,5,5,5,5,4,5,4,5,3,5,3,4,5,5
Devid,47,male,Twitter,Efficient,4,3,4,5,4,5,4,5,5,5,4,3,4,3,3,4,4
Dharmani,72,female,Facebook,Confusing,4,5,4,4,4,4,3,5,4,5,4,4,4,5,5,4,5
Divakar,55,male,Instagram,Well-structured,4,3,5,3,4,3,4,4,4,5,3,3,4,3,5,4,3
Geeta,41,female,Website,Limited Menu Options,5,4,4,4,4,5,5,5,4,4,4,4,3,3,5,3,3
Gopal,65,male,Website,Inconsistent Navigation,4,4,3,5,4,4,5,4,3,3,5,4,4,4,5,3,3
Harsha,35,female,Instagram,Intuitive,5,3,3,4,4,3,3,5,5,4,5,4,4,5,3,5,4
Indira,57,female,Facebook,Clear and concise,5,4,3,4,4,5,4,5,3,4,3,4,4,4,5,4,3
Jagani,22,female,Instagram,Engaging,5,4,4,4,4,5,3,5,5,3,4,5,5,3,4,4,5
Kamal,48,male,Instagram,Confusing,5,5,3,3,5,5,4,4,5,4,4,4,5,5,5,5,4
Karani,40,female,Website,Inconsistent Navigation,3,4,4,4,4,4,4,5,5,5,4,4,5,5,5,3,4
Karim,52,male,Facebook,Intuitive,4,4,4,4,5,3,4,5,5,4,5,5,3,4,5,4,3
Keshav,46,male,Website,Clear and concise,5,4,4,3,4,4,3,5,3,4,4,4,5,5,5,4,4
Kishore,47,male,Youtube,Efficient,4,3,4,4,4,4,4,4,4,4,5,4,4,5,5,5,4
Lata,51,female,Website,Well-structured,5,3,5,4,4,4,4,3,4,4,3,3,5,5,5,3,4
Madhav,68,male,Website,Intuitive,5,3,3,4,4,4,4,5,5,3,5,4,3,4,3,4,5
Mala,72,female,Instagram,User-Friendly,4,4,4,3,4,4,4,4,5,3,4,4,3,4,5,5,4
Manish,50,male,Twitter,Adequate,4,3,4,4,4,5,3,5,5,3,5,5,5,3,4,4,4
Meera,75,female,Youtube,Intuitive,4,5,4,4,4,4,4,5,4,5,4,5,4,3,4,4,4
Mohini,61,female,Twitter,Clear and concise,4,3,3,4,5,5,4,3,5,5,5,3,3,5,4,4,5
Mukul,49,male,Website,Inconsistent Navigation,4,4,4,4,4,4,4,4,5,3,5,4,4,4,4,3,5
Namrata,50,female,Instagram,Well-structured,3,4,3,3,5,4,5,4,5,4,4,3,5,3,5,4,5
Nirav,39,male,Instagram,Adequate,3,3,5,3,4,4,4,3,4,4,4,4,5,4,5,3,5
Padma,56,female,Twitter,Adequate,3,5,4,4,4,3,5,4,3,5,3,3,4,4,5,5,5
Palak,35,male,Website,Engaging,3,3,5,5,4,4,5,4,5,4,5,4,4,4,4,4,4
Paragi,62,female,Twitter,Efficient,3,5,3,5,4,5,5,4,5,5,4,4,5,3,4,3,4
Pavan,72,male,Facebook,Inconsistent Navigation,4,5,4,4,4,5,4,5,3,5,4,5,4,5,3,5,5
Prakashini,20,female,Website,Adequate,3,4,4,4,5,4,4,5,5,4,4,5,3,5,4,5,5
Priyanka,50,female,Facebook,Confusing,4,5,3,4,5,5,4,4,4,3,4,4,3,3,4,3,5
Rahul,74,male,Twitter,Intuitive,4,3,4,4,4,5,3,5,5,4,3,5,4,4,5,4,3
Rajani,73,female,Twitter,Engaging,4,4,4,3,4,4,4,3,5,3,5,4,4,3,5,4,4
Rani,67,female,Facebook,Limited Menu Options,5,5,4,3,5,5,3,5,4,4,4,5,5,4,4,5,5
Ravi,57,male,Website,Limited Menu Options,4,5,4,4,4,5,5,5,5,5,4,4,4,4,4,3,4
Reena,41,female,Facebook,Clear and concise,4,4,4,4,4,3,4,5,4,4,5,3,4,4,4,4,3
Riya,35,female,Instagram,Well-structured,4,4,4,4,4,4,4,3,3,3,3,4,5,5,4,4,5
Rudra,30,male,Facebook,Efficient,4,5,4,4,4,3,5,4,4,4,4,4,5,4,4,4,5
Sagar,39,male,Website,User-Friendly,5,4,3,4,5,5,4,4,5,5,4,3,4,3,4,4,5
Samir,48,male,Youtube,Efficient,5,3,4,4,4,4,5,5,5,3,3,5,3,3,4,5,5
Sandhya,46,female,Website,Well-structured,4,4,3,5,4,4,5,5,5,5,3,3,3,4,3,5,4
Saraswati,58,female,Instagram,Engaging,4,4,4,4,4,5,5,3,5,5,5,3,5,5,3,3,5
Satish,33,male,Website,Adequate,4,4,4,4,5,4,4,4,3,5,4,5,5,5,5,4,3
Sharmila,45,female,Website,Engaging,3,5,4,4,4,4,4,3,4,4,5,4,5,4,5,4,4
Shekhar,51,male,Instagram,User-Friendly,5,5,5,4,3,5,4,3,3,5,4,5,5,5,4,5,4
Shubha,27,female,Youtube,Inconsistent Navigation,4,4,3,5,5,4,3,3,3,4,4,4,3,3,4,3,3
Sita,23,female,Website,Intuitive,4,4,3,4,5,4,4,5,5,5,4,3,5,5,5,5,3
Subhash,56,male,Facebook,Inconsistent Navigation,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,4,3
Sujata,56,female,Twitter,Clear and concise,4,4,5,4,4,5,5,5,4,4,3,5,5,5,5,4,5
Sunanda,27,female,Instagram,Efficient,4,5,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4
Suraj,33,male,Facebook,User-Friendly,5,5,3,5,4,5,5,3,5,4,4,5,4,3,3,4,4
Sushma,39,female,Instagram,Limited Menu Options,5,4,5,5,4,4,4,3,4,5,3,4,3,5,5,4,4
Tarun,57,male,Twitter,Well-structured,4,5,4,4,3,5,5,4,4,3,3,3,4,5,5,4,5
Trisha,44,female,Facebook,Limited Menu Options,5,3,4,5,5,5,5,3,5,5,3,5,5,4,3,4,4
Ujjwal,51,male,Facebook,Clear and concise,3,5,4,4,3,3,4,3,4,3,4,4,4,4,4,5,4
Upendra,40,female,Youtube,Engaging,5,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4
Usha,44,female,Website,Well-structured,4,3,4,3,4,3,5,3,4,3,5,4,4,5,4,5,4
Vani,72,female,Website,Limited Menu Options,4,5,4,3,3,4,5,5,3,3,4,5,4,3,4,5,5
Vasu,38,male,Website,User-Friendly,5,5,4,5,5,4,4,5,3,4,5,4,4,5,5,4,5
Vibha,60,female,Facebook,Confusing,4,4,5,4,4,4,4,4,4,3,5,4,3,4,5,4,4
Vidya,65,female,Twitter,Confusing,4,4,4,5,5,4,4,4,4,4,4,5,3,4,5,4,4
Vinay,38,male,Facebook,Efficient,4,4,4,5,4,5,4,4,4,4,5,4,4,3,5,5,4
Vrinda,68,male,Youtube,Efficient,5,4,3,5,4,5,4,3,4,4,4,4,5,4,4,3,4
Yashoda,26,female,Facebook,Well-structured,4,3,5,3,4,4,4,4,4,5,4,3,4,4,4,3,3
Alok,36,male,Website,Limited Menu Options,4,5,4,4,4,5,3,4,3,5,5,5,3,4,4,4,4
Amar,42,male,Website,Limited Menu Options,5,4,4,3,5,4,5,5,3,3,5,4,4,4,5,3,4
